post_id,platform,content,author_id,posted_at,likes,comments,shares,engagement_score
vBGd4COy8BY,youtube,#gta5_fivem_tricks,UC4WRPpNZQsVfoC2SdczWnhg,2025-07-25T02:57:21Z,120542,1236,0,121778
1C5PvM4cUNA,youtube,"EXTENDED HIGHLIGHTS | Wolves 0-4 Man City | Haaland (2), Reijnders & Cherki Goals! ",UCkzCjdRMrW2vXLx8mvPVLdQ,2025-08-16T23:00:04Z,60081,2363,0,62444
m5W6RxFWblc,youtube,"Messi’s Son VS Ronaldo’s Son Fruit Horse Race, who will win?",UCwJ7_Wcc9vnJVoEyp8Q7q_w,2025-08-12T16:40:40Z,57405,36,0,57441
1957811950265499968,twitter,RT @BobHyldburg: Looking forward to interviewing Jim Plunkett on @959watdfm @SEonWATD Radio 95.9 FM Live Streaming Radio Tonight at 8:16 PM…,1404937202686218242,2025-08-19T14:28:37.000Z,0,0,3,3
1957811694505505083,twitter,"SQUAD GOALS = SCORING GOALS 💪⚽
Epic play. Beautiful finish. That’s how we do it.

📲 Want in? Message us now!

#apsocceracademy #apsoccer #soccer #socceracademy #YouthSoccer #SoccerGoals #SoccerLife #SoccerSkills #Football #Futbol #SoccerPlayer #GoalOfTheDay #SoccerGame https://t.co/xI5xir3uTA",1727425848960270336,2025-08-19T14:27:37.000Z,0,1,0,1
1957812050106728585,twitter,"#Football | Grosse affiche pour la reprise de la saison avec un beau match amical entre les équipes féminines du @RCDEFemeni et du @MontpellierHSC , ce vendredi 22 août à 18h00 au Parc des Sports ! https://t.co/NP72DadfDp",119339542,2025-08-19T14:29:01.000Z,0,0,0,0
